serial no,distance,latitude,longitude
6464.0,161575.0,21.403722340102927,91.13274447445968
6465.0,161600.0,21.40350129383496,91.13269531090816
6466.0,161625.0,21.403280247546746,91.13264614750443
6467.0,161650.0,21.403059201238293,91.1325969842485
6468.0,161675.0,21.4028381549096,91.13254782114046
6469.0,161700.0,21.402617108560666,91.13249865818022
6470.0,161725.0,21.40239606219149,91.13244949536772
6471.0,161750.0,21.40217501580208,91.13240033270313
6472.0,161775.0,21.401953969392423,91.13235117018633
6473.0,161800.0,21.40173292296253,91.13230200781732
6474.0,161825.0,21.401511876512394,91.13225284559616
6475.0,161850.0,21.401290830042026,91.13220368352279
6476.0,161875.0,21.401069783551414,91.13215452159716
6477.0,161900.0,21.400848737040565,91.13210535981943
6478.0,161925.0,21.40062769050948,91.13205619818945
6479.0,161950.0,21.400406643958153,91.13200703670725
6480.0,161975.0,21.400185597386592,91.1319578753729
6481.0,162000.0,21.39996455079479,91.13190871418635
6482.0,162025.0,21.39974350418276,91.13185955314754
6483.0,162050.0,21.39952245755049,91.13181039225651
6484.0,162075.0,21.399301410897973,91.13176123151334
6485.0,162100.0,21.399080364225227,91.1317120709179
6486.0,162125.0,21.39885931753225,91.13166291047025
6487.0,162150.0,21.398638270819024,91.1316137501704
6488.0,162175.0,21.398417224085573,91.13156459001834
6489.0,162200.0,21.398196177331883,91.13151543001402
6490.0,162225.0,21.397975130557963,91.13146627015749
6491.0,162250.0,21.3977540837638,91.13141711044875
6492.0,162275.0,21.397533036949405,91.1313679508878
6493.0,162300.0,21.39731199011478,91.1313187914746
6494.0,162325.0,21.39709094325992,91.13126963220913
6495.0,162350.0,21.39686989638482,91.13122047309145
6496.0,162375.0,21.396648849489495,91.13117131412156
6497.0,162400.0,21.396427802573932,91.13112215529941
6498.0,162425.0,21.396206755638136,91.131072996625
6499.0,162450.0,21.395985708682108,91.13102383809837
6500.0,162475.0,21.395764661705847,91.13097467971949
6501.0,162500.0,21.39554361470935,91.1309255214884
6502.0,162525.0,21.395322567692627,91.13087636340498
6503.0,162550.0,21.39510152065567,91.13082720546936
6504.0,162575.0,21.394880473598484,91.13077804768147
6505.0,162600.0,21.394659426521066,91.13072889004133
6506.0,162625.0,21.394438379423413,91.13067973254897
6507.0,162650.0,21.394217332305526,91.13063057520424
6508.0,162675.0,21.393996285167418,91.13058141800735
6509.0,162700.0,21.393775238009084,91.13053226095815
6510.0,162725.0,21.393554190830503,91.13048310405674
6511.0,162750.0,21.393333143631708,91.130433947303
6512.0,162775.0,21.393112096412672,91.13038479069701
6513.0,162800.0,21.39289104917341,91.13033563423875
6514.0,162825.0,21.39267000191392,91.13028647792822
6515.0,162850.0,21.392448954634208,91.13023732176538
6516.0,162875.0,21.392227907334256,91.13018816575033
6517.0,162900.0,21.392006860014078,91.1301390098829
6518.0,162925.0,21.391785812673678,91.13008985416326
6519.0,162950.0,21.39156476531305,91.1300406985913
6520.0,162975.0,21.391343717932187,91.12999154316708
6521.0,163000.0,21.391122670531104,91.12994238789054
6522.0,163025.0,21.390901623109794,91.12989323276179
6523.0,163050.0,21.390680575668252,91.12984407778066
6524.0,163075.0,21.390459528206488,91.12979492294721
6525.0,163100.0,21.390238480724495,91.12974576826156
6526.0,163125.0,21.390017433222276,91.12969661372352
6527.0,163150.0,21.38979638569983,91.12964745933323
6528.0,163175.0,21.38957533815717,91.12959830509061
6529.0,163200.0,21.389354290594273,91.12954915099573
6530.0,163225.0,21.389133243011155,91.12949999704847
6531.0,163250.0,21.388912195407816,91.12945084324895
6532.0,163275.0,21.388691147784247,91.1294016895971
6533.0,163300.0,21.38847010014045,91.12935253609294
6534.0,163325.0,21.388249052476436,91.12930338273645
6535.0,163350.0,21.388028004792197,91.12925422952765
6536.0,163375.0,21.387806957087736,91.12920507646652
6537.0,163400.0,21.387585909363047,91.12915592355307
6538.0,163425.0,21.387364861618135,91.1291067707873
6539.0,163450.0,21.387143813853008,91.12905761816921
6540.0,163475.0,21.386922766067652,91.1290084656988
6541.0,163500.0,21.386701718262078,91.12895931337607
6542.0,163525.0,21.38648067043628,91.12891016120096
6543.0,163550.0,21.386259622590263,91.12886100917353
6544.0,163575.0,21.386038574724022,91.12881185729373
6545.0,163600.0,21.385817526837563,91.12876270556166
6546.0,163625.0,21.38559647893088,91.1287135539772
6547.0,163650.0,21.385375431003975,91.12866440254038
6548.0,163675.0,21.38515438305685,91.12861525125123
6549.0,163700.0,21.384933335089507,91.12856610010977
6550.0,163725.0,21.384712287101948,91.12851694911592
6551.0,163750.0,21.384491239094164,91.12846779826975
6552.0,163775.0,21.384270191066157,91.12841864757115
6553.0,163800.0,21.384049143017936,91.12836949702029
6554.0,163825.0,21.383828094949497,91.12832034661699
6555.0,163850.0,21.38360704686084,91.12827119636137
6556.0,163875.0,21.38338599875196,91.12822204625337
6557.0,163900.0,21.383164950622863,91.128172896293
6558.0,163925.0,21.382943902473553,91.1281237464803
6559.0,163950.0,21.38272285430402,91.12807459681522
6560.0,163975.0,21.382501806114274,91.12802544729772
6561.0,164000.0,21.38228075790431,91.12797629792789
6562.0,164025.0,21.38205970967413,91.12792714870568
6563.0,164050.0,21.38183866142373,91.1278779996311
6564.0,164075.0,21.381617613153118,91.12782885070408
6565.0,164100.0,21.381396564862285,91.12777970192474
6566.0,164125.0,21.38117551655124,91.12773055329302
6567.0,164150.0,21.380954468219983,91.12768140480887
6568.0,164175.0,21.380733419868495,91.12763225647234
6569.0,164200.0,21.38051237149681,91.12758310828343
6570.0,164225.0,21.380291323104903,91.12753396024215
6571.0,164250.0,21.380070274692784,91.12748481234843
6572.0,164275.0,21.379849226260447,91.12743566460233
6573.0,164300.0,21.379628177807895,91.12738651700386
6574.0,164325.0,21.379407129335135,91.12733736955295
6575.0,164350.0,21.37918608084216,91.12728822224966
6576.0,164375.0,21.378965032328967,91.12723907509394
6577.0,164400.0,21.378743983795566,91.12718992808584
6578.0,164425.0,21.37852293524195,91.12714078122531
6579.0,164450.0,21.378301886668122,91.1270916345124
6580.0,164475.0,21.378080838074084,91.12704248794705
6581.0,164500.0,21.37785978945983,91.12699334152927
6582.0,164525.0,21.377638740825365,91.12694419525906
6583.0,164550.0,21.377417692170688,91.12689504913646
6584.0,164575.0,21.377196643495804,91.12684590316144
